id,sex,employment,married,income,digital2
100001,M,employed,1,8139,0
100002,M,employed,1,12794,.69303948
100003,M,employed,1,15755,.54616511
100004,F,employed,1,768163,0
100005,M,employed,1,27633,.5519647
100006,F,employed,1,22519,.21917076
100007,M,student,0,0,0
100008,F,unemployed,1,16930,.5550006
100009,F,employed,1,13792,.76735222
100010,M,unemployed,1,11199,.69863433
100011,M,employed,1,15054,.64695162
100012,M,employed,1,13897,.74789363
100013,F,retired,0,5830,.32549232
100014,M,retired,1,6008,0
100015,M,student,0,23176,.44778109
100016,M,student,0,5724,.91209131
100017,F,employed,1,16530,.51418734
100018,F,employed,0,15812,.58265102
100019,M,student,0,0,.032239363
100020,F,student,0,0,.74984914
100021,F,retired,1,11380,0
100022,F,student,0,61174,.83696765
100023,F,employed,1,6526,0
100024,M,unemployed,0,0,.66315919
100025,M,employed,1,54614,.41159624
100026,F,employed,0,82098,.21685782
100027,F,student,0,0,.1044896
100028,M,retired,0,9849,.20085144
100029,M,employed,1,38615,.35756323
100030,F,student,0,0,.019480471
100031,M,employed,0,44552,.56077403
100032,M,student,0,0,0
100033,F,employed,0,6521,.66894871
100034,M,employed,1,9663,.60573107
100035,M,employed,1,41000,0
100036,M,employed,1,31780,.8644219
100037,F,retired,1,6117,.24929972
100038,F,employed,1,6090,.48851508
100039,M,employed,1,9489,0
100040,M,retired,0,3590,.26886255
100041,M,employed,0,8107,.2987726
100042,F,retired,0,10026,.22771087
100043,F,unemployed,1,0,0
100044,M,employed,0,43745,.057825979
100045,M,employed,1,19389,0
100046,M,employed,1,23980,.99283963
100047,M,student,1,0,.8241874
100048,F,unemployed,1,14254,.36874077
100049,M,unemployed,1,35888,.50998348
100050,M,employed,1,30227,.42813495
100051,M,student,1,0,.81835687
100052,F,retired,1,9105,0
100053,M,student,0,0,.63601327
100054,M,retired,1,3724,0
100055,F,retired,0,4071,.23278348
100056,F,unemployed,1,11677,.6847508
100057,M,student,0,21037,.069992751
100058,M,employed,1,480873,.33304074
100059,F,unemployed,1,0,.76902026
100060,F,student,1,0,.96634662
100061,M,employed,0,6726,.083667003
100062,F,employed,1,7879,.5878607
100063,M,employed,1,17630,.65159816
100064,M,retired,0,1660,.14159258
100065,M,student,0,27744,.57137716
100066,F,employed,0,45603,.54234332
100067,M,retired,1,23864,0
100068,F,unemployed,0,33731,.78676969
100069,F,retired,0,3337,0
100070,F,employed,0,6099,.49504423
100071,F,employed,1,5430,.14706747
100072,M,employed,1,62360,.84897137
100073,M,unemployed,0,0,0
100074,F,employed,1,5079,.61340433
100075,M,unemployed,1,11998,.18585627
100076,F,employed,1,6013,.55659485
100077,M,student,0,8241,.99814332
100078,M,unemployed,1,0,.76992816
100079,F,student,0,0,.99565244
100080,M,employed,1,12382,.51921916
100081,F,employed,1,10839,.23399781
100082,F,student,0,0,.13406979
100083,M,employed,1,15000,.23445377
100084,M,retired,1,12330,.26198977
100085,M,employed,0,6132,0
100086,M,retired,1,5599,.31792489
100087,M,employed,0,12790,0
100088,M,student,1,0,.84996343
100089,F,employed,0,6159,.62578219
100090,M,student,0,0,.94128042
100091,M,employed,1,15606,.21434231
100092,F,retired,1,30766,.25565776
100093,F,employed,1,7866,.5353741
100094,M,employed,1,49436,.66257465
100095,M,employed,1,20262,.41587123
100096,F,employed,1,8886,.063006528
100097,F,student,0,17308,.84199202
100098,M,employed,1,26354,0
100099,M,student,0,15737,.94289333
100100,F,employed,1,5076,.75779015
100101,M,employed,0,5211,.42453876
100102,F,employed,1,10006,.96651524
100103,F,retired,0,6343,0
100104,F,unemployed,1,0,.41621286
100105,M,employed,1,13171,0
100106,F,student,0,0,.81973577
100107,F,retired,0,4017,.073587522
100108,F,student,0,0,.66174203
100109,M,employed,1,9266,.52415955
100110,M,unemployed,1,0,.83391511
100111,M,retired,1,6607,0
100112,F,employed,1,8914,.51732814
100113,M,employed,1,20561,.36285341
100114,F,employed,1,23867,.63809711
100115,F,employed,0,13498,.61434352
100116,F,retired,1,4669,0
100117,F,employed,1,34344,.51032728
100118,M,employed,0,5164,.72795683
100119,M,employed,1,7034,.22588989
100120,F,retired,1,2601,.30236724
100121,F,employed,1,8097,.33996901
100122,M,employed,1,10315,.32527196
100123,M,employed,1,9118,.84929287
100124,M,employed,1,19864,.91939664
100125,F,employed,1,71270,.75079668
100126,F,student,0,0,.27642554
100127,F,employed,1,4933,.64435619
100128,M,employed,1,25208,.78246188
100129,F,retired,0,8665,.2556749
100130,F,employed,1,17323,.74378037
100131,F,retired,1,2811,0
100132,M,employed,1,9713,.5467546
100133,M,employed,1,48148,0
100134,M,student,0,0,.98494971
100135,M,employed,0,6320,0
100136,M,unemployed,1,0,.49451905
100137,M,employed,1,16777,.36189693
100138,F,employed,1,10387,0
100139,F,unemployed,1,25423,.16252311
100140,F,employed,1,42066,.19261332
100141,F,employed,1,34830,.48585835
100142,F,unemployed,0,47106,.74590427
100143,M,student,1,0,.475207
100144,F,student,0,0,.0082037849
100145,F,employed,1,5063,.878304
100146,F,unemployed,0,0,.7325713
100147,M,employed,1,11655,.56948167
100148,M,employed,0,12074,.65979636
100149,F,employed,1,5856,.23348953
100150,F,employed,1,32778,0
100151,F,employed,1,21573,0
100152,M,retired,0,4351,.28925854
100153,F,employed,0,51134,.50047302
100154,F,employed,1,7206,.25911656
100155,F,employed,1,29774,.69520622
100156,F,unemployed,1,0,.42162946
100157,F,student,1,0,.57972282
100158,M,employed,0,7144,0
100159,F,employed,1,24549,.41171634
100160,M,unemployed,0,10304,.49551865
100161,M,employed,1,15023,.16295364
100162,F,employed,1,5741,0
100163,F,student,0,0,.7954306
100164,F,unemployed,0,7694,.951873
100165,M,employed,0,48219,.50055921
100166,M,employed,1,16952,.48297599
100167,M,employed,0,12607,.5744046
100168,M,employed,1,11890,0
100169,M,retired,1,24321,0
100170,F,employed,1,8733,0
100171,M,employed,1,6714,0
100172,M,employed,0,12601,.83536619
100173,F,retired,1,3286,.052801721
100174,M,employed,0,186470,.16577926
100175,M,employed,0,8449,.26503742
100176,M,employed,1,11253,.98255652
100177,M,employed,1,5338,0
100178,F,retired,0,12845,.15085034
100179,F,employed,1,8934,.82965744
100180,F,employed,0,10680,.85693693
100181,M,unemployed,1,0,0
100182,F,student,0,22297,.24816094
100183,M,employed,0,13725,.082894951
100184,F,employed,0,319415,.10803737
100185,M,employed,0,5845,.57049251
100186,F,employed,1,5761,.67424017
100187,M,unemployed,0,52088,0
100188,F,unemployed,0,0,0
100189,F,employed,1,7649,.71961641
100190,F,employed,1,6420,.039773844
100191,M,retired,0,3762,0
100192,M,employed,1,9432,.53770363
100193,F,employed,1,9238,.39983183
100194,M,employed,1,7583,.6552071
100195,M,employed,0,42709,.31584212
100196,M,employed,1,9068,.57557821
100197,F,employed,1,7485,.67779249
100198,F,unemployed,1,10087,.60361487
100199,F,student,0,0,0
100200,F,employed,1,4165,.8972708
100201,M,employed,1,25975,.65384018
100202,M,employed,1,17410,.69452131
100203,M,employed,1,52042,.50065559
100204,F,retired,1,4745,0
100205,F,employed,0,52765,.83858794
100206,M,unemployed,0,0,.56147385
100207,M,student,0,34757,.45503375
100208,M,student,0,10346,.88772154
100209,M,unemployed,1,0,.40219557
100210,M,student,0,0,0
100211,M,employed,1,55995,.86863953
100212,M,student,0,0,.86941904
100213,M,employed,1,7152,.77398515
100214,M,employed,1,12683,.5713653
100215,F,unemployed,0,0,.073743492
100216,F,unemployed,1,0,.53193414
100217,F,employed,1,16633,0
100218,F,retired,1,6525,0
100219,F,unemployed,1,0,.72102934
100220,F,employed,0,5859,0
100221,M,employed,1,8814,0
100222,F,unemployed,1,0,.58415437
100223,F,employed,1,9549,.80641884
100224,M,employed,0,36015,.085031964
100225,M,employed,1,13232,0
100226,F,student,0,0,.090658031
100227,M,employed,0,15004,.75151432
100228,M,retired,1,3551,.17799309
100229,M,employed,0,16982,.79524183
100230,M,employed,1,34524,.5666163
100231,M,employed,0,11549,.74495393
100232,F,retired,1,3051,.23882592
100233,F,employed,1,6320,.89381641
100234,M,employed,1,13698,.19916561
100235,F,unemployed,1,0,0
100236,M,retired,1,12804,0
100237,F,employed,1,20543,.43537205
100238,M,employed,0,11339,.72295707
100239,F,student,0,0,.71111906
100240,M,employed,1,8207,0
100241,F,unemployed,1,0,.62307626
100242,F,employed,0,10767,0
100243,F,student,0,7495,.84658921
100244,M,employed,1,10998,0
100245,M,unemployed,1,0,.61551213
100246,M,employed,1,6050,.1519665
100247,M,employed,0,8918,.76140541
100248,M,employed,1,11217,.8173455
100249,F,student,0,0,.8340987
100250,M,employed,1,7670,0
100251,F,unemployed,1,0,0
100252,F,retired,0,6765,0
100253,M,employed,1,8003,.68445194
100254,F,student,0,11916,.74708998
100255,F,unemployed,1,0,0
100256,M,unemployed,0,16882,.58792585
100257,F,retired,1,3868,.044308841
100258,M,unemployed,1,33793,.64669085
100259,M,employed,1,6878,.51408905
100260,F,employed,0,5565,.91388971
100261,F,employed,1,8571,0
100262,M,employed,0,14141,.73091215
100263,M,employed,1,54985,.72411001
100264,M,retired,1,4783,.12223494
100265,F,employed,0,8659,.54876035
100266,M,employed,1,15217,.091542214
100267,M,employed,1,13104,.62998468
100268,F,student,0,0,.83959955
100269,M,employed,1,23313,.59002179
100270,F,student,0,0,.90759981
100271,F,unemployed,1,41003,.37824336
100272,F,employed,1,19535,.55062461
100273,F,employed,0,14522,0
100274,F,employed,1,32191,.10757073
100275,F,employed,1,5327,.58018416
100276,M,employed,1,8237,.60058635
100277,F,employed,1,34787,.86450922
100278,M,retired,0,6234,.27596292
100279,M,employed,0,5906,.97789812
100280,M,employed,1,28816,0
100281,F,employed,1,5616,.35744038
100282,M,employed,1,32002,.54679656
100283,M,employed,1,91962,.054990228
100284,F,employed,1,9902,.0060572219
100285,M,student,0,0,.95348096
100286,M,employed,1,5131,.15008119
100287,F,unemployed,0,0,.24748293
100288,M,employed,1,33077,0
100289,M,student,1,0,.35566929
100290,M,student,0,7134,.39422879
100291,F,employed,1,18243,0
100292,F,employed,1,5662,.12636696
100293,M,employed,0,8242,0
100294,M,employed,1,7862,.82619327
100295,F,student,0,4052,.13395113
100296,F,retired,1,3008,.011776994
100297,F,unemployed,1,9607,.65788335
100298,M,employed,1,267262,.52898335
100299,F,student,0,7645,.83320647
100300,M,employed,0,6275,.46307495
100301,M,employed,1,10447,.23600782
100302,M,student,0,0,.85711229
100303,M,employed,0,15345,0
100304,M,employed,0,25007,.51059765
100305,F,employed,1,21760,.0090410868
100306,M,employed,1,8948,.74908495
100307,M,employed,1,9627,.074284613
100308,F,employed,1,11922,.66875601
100309,M,student,0,0,.089460909
100310,F,unemployed,1,0,.37800154
100311,F,retired,1,2736,0
100312,F,employed,0,76671,.62390387
100313,F,unemployed,0,15767,.66976058
100314,F,unemployed,0,12308,.55724794
100315,M,unemployed,1,0,0
100316,M,employed,1,16725,.59586906
100317,F,unemployed,1,0,.012422481
100318,F,employed,1,13192,0
100319,F,employed,1,12367,.80235803
100320,M,employed,0,133010,0
100321,M,student,0,5334,.2695047
100322,M,employed,1,6821,.68396497
100323,F,unemployed,1,7065,.64604747
100324,M,employed,0,12425,0
100325,F,employed,1,17485,.014684206
100326,M,unemployed,1,13440,.81322616
100327,M,retired,0,18880,.25750944
100328,F,retired,1,8481,.0091491137
100329,M,employed,0,14295,.52138793
100330,F,retired,1,3803,.21562135
100331,M,employed,1,15485,.23763354
100332,M,employed,1,7060,.70560408
100333,F,employed,1,6009,.64833772
100334,F,employed,1,27341,.83737385
100335,M,student,0,0,.88892728
100336,M,unemployed,1,0,.66730607
100337,M,employed,1,84967,.85998148
100338,M,student,0,0,.96992546
100339,M,employed,1,32600,.087904856
100340,F,employed,0,5762,.36658511
100341,F,employed,1,71940,.87549168
100342,M,employed,1,10781,.30430716
100343,M,employed,0,45354,.5161587
100344,F,student,0,0,.45354468
100345,M,student,0,15878,.77045357
100346,M,student,0,0,.91113508
100347,F,student,0,0,.95300704
100348,M,student,0,7521,.23322248
